,Full problem credits (Only copy the full italicized portion at the bottom),"Revised Question Text (Optional, don't include italicized credits part)","Revised Fermi Answer, (Optional) ->  Must be an integer","Explanation (If changing answer, provide a brief explanation for how the new answer was reached, nothing insanely long or fancy needed)","Credits (Optional, but we want to thank whoever fixed the problem :D, preferred discord or forums name) "
1/8/2024 13:23:40,"Golden Gate Invitational 22-23, #39        ",How many ways are there to make change for $10?,,,
1/8/2024 13:26:26,"RobertYL, daily fermi questions day #34 [2019 Captains Exchange: NCSSM Q15]        ",,1,30 pages rounds to 1???? either that or the question needs to be reworded,emptiespace
1/8/2024 16:01:41,"University of Michigan Invitational 17-18, #3        ",,-76,"Method 1: Probability of each event and multiplying

Probability of a tie: Since there are 3 options for each player and they need to match, the probability of a tie in one round is 1/3 * 1/3 = 1/9.
Probability of 72 ties in a row: This is simply the probability of a tie happening on each round 72 times, so it's (1/9)^72.
Probability of any non-tie outcome: Once we have 72 ties, the next round must break the tie and therefore not be a tie. This means the probability of any non-tie outcome is 1 - (probability of a tie) = 1 - 1/9 = 8/9.
Now, we need to multiply the probability of getting 72 ties in a row followed by a non-tie outcome: (1/9)^72 * 8/9 ≈ 5.062 x 10^-76",-sorryforthetypo
1/9/2024 8:00:44,"RobertYL, daily fermi questions day #35 [2019 Solon Q9]        ",,10,bruv look it up ,Ryan park
1/9/2024 8:54:37,"Columbia Invitational 17-18, #47        ",,11,dump truck volume is 10 m^3 and grand canyon is like 4 * 10^12 m^2,Ryan park
1/9/2024 15:05:59,"Ohio State Invitational 22-23, #8        ",,11,"1 drop has the volume of 0.05ml, 1 olympic sized swimming pool contains 2.5e6 liters. 2.5e6/0.05e-3 gives 5e10 = 11",
1/9/2024 15:11:19,"SSSS Fermi (Adi1008) 17-18, #37        ",,19,"each grain of sand is -13 m^3, empire state building is 6m^3, so 19 grains are required",
1/10/2024 9:47:01,"RobertYL, daily fermi questions day #82 [2019 Captains Exchange: Irvine Q10]        ",,2,"i mean it never specified front/back, 91 pages is 2",
1/10/2024 20:09:39,"MIT Invitational 22-23, #19        ",,5,"According to a new report, the average cost per inmate in New York's prisons is $167,731 per year.  - first google search",
1/11/2024 15:53:20,"RobertYL, daily fermi questions day #26 [2018 Aviation Q5]        ",,27,"Volume of earth is 1e21m^3 = 1e27 mL, each skittle is about 0.5-1 mL, resulting in an answer of 1-2e27 skittles in the earth. ",errorfunction
1/13/2024 9:30:30,"RobertYL, daily fermi questions day #105 [2019 Polytechnic Q24]        ",,-9,"probability of being struck in lifetime = 6.5e-5; if we assume that the probability of getting struck per day is x, then (1 - x) ^ (80 * 365 days) = 1 - 6.5e-5; solving gives x is around 2.2 * 10^-9",Ryan PARK
1/13/2024 9:35:38,"RobertYL, daily fermi questions day #60 [2019 Boca Raton Tryouts Q11]        ",,8,bro its not a hard problem lol,Ryan park
1/13/2024 22:48:22,"High Desert Mini Invitational 22-23, #2        ",,3,"average #2 pencil write 56km, Equator of Earth is 40,075 km, 40075/56=715.6 which is fermi 3",Krishna Dhiman
1/16/2024 13:19:01,"SSSs Fermi (luminosityfan) 17-18, #25        ",,21,Volume of the Pacific Ocean is 7x10^20 liters. A soup can is 12 fluid ounces->0.35 liters. 7/0.35=20->2x10^21->21 cans needed to fill the Pacific Ocean,emptiespace
1/16/2024 13:32:29,"University of Florida North Regional 17-18, #47        ",How many hours would it take the world’s fastest plane to fly the Earth's orbit?,,,
1/17/2024 16:49:15,"SSSs Fermi (luminosityfan) 17-18, #21        ",How many newspapers would be needed put side-to-side to cover the surface of the Sun?,"Not sure, but it sure isn't 10","The surface area of the sun is 10^12 km, so unless a newspaper is kilometers long, this answer is wrong.",
1/17/2024 17:49:16,"RobertYL, daily fermi questions day #36 [2019 Boca Raton Tryouts Q29]        ",How much does Bill Gates’ net worth weigh in 10 dollar bills? Express your answer in grams.,10,"Gate's net worth is at a magnitude of 11, ten dollar bills make it ^10 bills, 1 bill is 1 gram.",
1/19/2024 9:35:57,"RobertYL, daily fermi questions day #53 [2018 Westlake Q27]        ",,6,1 General Sherman tree is 84 meters. Distance to the moon is 3.8e8m. Dividing gives 4.5e6 -> 6,TheBirdyBirdyBird
1/22/2024 10:44:05,"SOAPS Invitational 22-23, #3        ",What fraction (expressed as a decimal) of positive integers less than 10^100 are perfect squares?,,,BTHS SciOly
1/22/2024 14:58:36,"Cornell Invitational 22-23, #13        ",,,Question is based off a previous answer that we cannot see. ,
1/22/2024 16:01:56,"High Desert Satellite Invitational 22-23, #5        ",,10,"8 people in germany, 2 liters per person",
1/22/2024 18:56:52,"Sahil Gandhi, WSO Regionals 22-23, #20        ",,4,"The Philippines is an archipelago that comprises 7,641 islands --> rounds up to 4.",
1/22/2024 18:59:57,"Duke Invitational 22-23, #14        ",How big is Duke’s campus (including every part of Duke-owned land) according to Google in cm^2?,,,None
1/22/2024 19:00:00,"Cornell Invitational 22-23, #11",How many meters tall would stacking all of these light bulbs be? [All the light bulbs sold in a year],,,None
1/22/2024 19:00:00,"Cornell Invitational 22-23, #12",How many of the world's tallest building stacked on top of each other would reach this height? [Height of all the light bulbs sold in a year stacked together],,,None
1/22/2024 19:00:00,"Cornell Invitational 22-23, #13        ",What fraction of the distance from the Earth to the Moon is this height? [Height of all the light bulbs sold in a year stacked together],,,None
1/25/2024 1:03:38,"Carolina Invitational 22-23, #17        ",,6,"""With good reason, the Swiss are the world’s most enthusiastic rail users, traveling an average of 2,450 kilometers every year by train.""

https://www.cnn.com/travel/article/world-record-train-switzerland/index.html

Likely the original answer was in regards to km, but the real answer should be in meters, like the question asks for...",
1/25/2024 1:14:35,"SSSS Fermi (Adi1008) 17-18, #39        ",What is the volume of air breathed by the whole US population each month in liters?,,Missing units...,
1/25/2024 11:57:49,"RobertYL, daily fermi questions day #116 [2019 Columbia Q3]        ",,37,"4.2 million solar masses * 2e30 kg/solar mass = 8.4e36 kg, so the answer is 37",errorfunction
1/25/2024 18:17:46,"SOUP Invitational 22-23, #8        ",,4,30 days * 24 hrs/day * 30 mm/hr = 21600 ,
1/26/2024 11:36:50,"UChicago Invitational 22-23, #14        ",,-7,"Thickness of paper is about 0.05-0.2 mm = 5-10 x 10^-5 m. A mile is 1609 meters, so thickness in miles is 5-20 x 10^-5 m x (1 mi / 1609 m) = 3.11-12.43 e-8 mi. Different sources give different numbers for thickness of paper ranging from 0.05-0.1 mm all the way up to 9 mil (~0.2 mm), so probably the safest answer here is -7.",errorfunction
1/26/2024 15:43:18,"Rice Invitational 17-18, #10        ",,-7,calculate it yourself,
1/27/2024 6:56:25,"University of Florida North Regional 17-18, #38        ",,68,bro whoever made this test is incompetent,Craig B
1/28/2024 14:40:54,"RobertYL, daily fermi questions day #120 [2018 Westlake Q44]        ",,19,"There are 6e18 electrons in a coulomb. Given that wattage is equal to amperage times voltage, at a standard US voltage of 120, that means there's half an amp running through a 60 watt bulb. 6e18 electrons divided by 0.5 amps is a 1.2e19. Likewise, if we use a more global voltage of 240 volts, that would mean a quarter of an amp is running through a 60 watt bulb. 6e18 electrons divided by 0.25 amps is 2.4e19, which would also be 19. Not sure why the original answer was negative.",cubicfrog (disc)
1/29/2024 12:32:06,"High Desert Mini Invitational 22-23, #3        ",How many dead skin cells are shed by all the people on Earth each year?,20,"40,000 per minute, 525,000 minutes in a year, 8 bil people in the world --> 1.68*e20",
1/30/2024 8:37:57,"RobertYL, daily fermi questions day #1 [2018 Westlake Q64]        ",,-23,"Mass of earth is 6*10^24 kg, average mass of man is 80 kg -> 80/(6*10^24) = 1.3*10^-23, answer is -23",bibob
1/30/2024 14:43:05,"High Desert Satellite Invitational 22-23, #19        ",,7,"10^6 liters in an olympic swimming pool, ~5 balls in a liter, 10^7 balls total",emptiespace
1/31/2024 11:13:39,"UT Austin Invitational 23-24, #9        ",,1,"5 is a fibonacci number for which F_n/F_n-1 is within 5% of phi. The percent error for 5/3 compared to phi is surprisingly low at only ~3%, so the answer to the question is 1.",errorfunction
1/31/2024 14:44:35,"RobertYL, daily fermi questions day #114 [2019 Solon Q10]        ",,10,google the thickness ur tweaking,Ryan park
1/31/2024 17:17:33,"SOAPS Invitational 22-23, #53        ",The n-th Fermat number is defined as F_n = 2^(2^n) + 1. What is log(F_2023)? Here log denotes the base-10 logarithm. ,,,bibob/pikapika007
1/31/2024 17:25:42,"Columbia Invitational 17-18, #49        ",,,"10 electrons per molecule of water (2*1 + 8), each mole of water has N_A = 6.022*10^23 molecules of water, final answer is 6*10^24 which is 25",bibob/pikapika007
2/1/2024 8:33:10,"Centerville Invitational 17-18, #26        ",,10,"20*12*2= 480 m^3, 480*1000*1000 = 4.8e8 ml, 1 drop of water is 0.05 mL, 4.8e8/0.05 = 9.6e9 which rounds to 10.",
2/2/2024 21:15:28,"Carnegie Mellon Invitational 22-23, #24        ",,1,The number of digits is 10^1.,
2/3/2024 15:50:07,"RobertYL, daily fermi questions day #102 [2019 Duke Q5]        ",What is the density at the center of the Sun (in grams per centimeter cubed)?,,Include units of density that should be used.,"chez_republic1052, alphalion0205"
2/3/2024 16:00:28,"North Pocono Invitational 22-23, #15",,1,There are 30 galaxies in our local group. The logarithm of 30 is approximately 1.477 which would be rounded down to one.,
2/3/2024 21:20:36,"Cornell Invitational 22-23, #4        ",,151,"log 2 = 0.301 -> 0.301*500=150.5, which rounds up to 151",dc
2/4/2024 14:50:44,"Rickards Invitational 23-24, #45        ",,,not sure what the answer is but if theres only 19 grains of sand on earth there cant be 24 in the sahara,
2/4/2024 15:45:02,"BirdSO Mini Invitational 21-22, #44        ","Assuming a Bluetooth 4 connection, how many Airpod earbuds would you need to cover the entire Earth?",18,"surface area of earth : 4pi r^2 : e1 * e7 * e7 m = e15 m^2 

e3 buds / sq meter? 

approx e18 ",me 
2/5/2024 7:35:20,"High Desert Mini Invitational 22-23, #2        ",,8,the original question did not ask how far it could write but how many pencils would it take so the assumption would be to take the length of the pencil which would be 18 cm and it would take approximetly 2 x 10^8 pencils to circle the earth,
2/6/2024 8:32:11,"BirdSO Mini Invitational 21-22, #22        ",,0,"Amount of dirt per swimming pool: 1.5g/cm^3 dirt * (10000 cm^3 per cubic meter) * (50 * 25 *2 meters^3) * (1kg/1000g) = 3750 kg

Weight of an adult blue whale: ~110,000 kg

Pools per whale: ~29 (1)",Trippy (@tripleqgaming for discord)
2/6/2024 10:29:14,"Yale Invitational 17-18, #14        ",,11,"distance from earth to sun is at least 10^11 meters, cannot be less than 11",
2/6/2024 11:03:10,"Palo Alto Tryouts 22-23, #31        ",How many different books have been published in the world?,,"The fermi answer 8 is given as the number of published books in the world, not the total copies of books in the world. ",emptiespace
2/6/2024 15:10:02,"BirdSO In-Person Invitational 22-23, #24        ",,4,"Text is probably a typo and the Q should be revised, but 41,124 is 4.1124*10^4 or 4.",Trippy (@tripleqgaming on Discord)
2/6/2024 15:12:32,"Princeton Invitational 22-23, #12        ",,-5,if its a ratio of revolutionary to ww1 thats R/W which should be negative,Him
2/7/2024 10:49:59,"BirdSO Invitational 20-21, #40        ",,-48,(1/3)^100 is 1.9e-48,
2/8/2024 18:44:17,"RobertYL, daily fermi questions day #77 [2019 Cornell Q28]        ",How many liters of gasoline does the average american use in their lifetime,,nom nom gasoline,
2/8/2024 19:05:10,"UMass Amherst Invitational 22-23, #34        ","Jalal flips an unfair coin (heads 3 10 of the time and tails 7 10 of the time) 50 times and calls it an experiment. On average, how many experiments will Jalal have to conduct until he flips at least 48 tails in one experiment?",,,
2/8/2024 21:36:15,,,,,
2/9/2024 13:35:49,"Columbia Invitational 17-18, #11        ",,6,"Speed of S waves is 1-8 km/s (for our purposes we will take the average and go 4 km/s), san francisco to syracuse is 4000 km (3926 km but close enough), 4000/4 = 1000 seconds = 1*10^6 ms which is 6",bibob/pikapika007
2/12/2024 11:35:51,"UT Austin Regionals 22-23, #12        ",,19,2^65 is 19,
2/12/2024 11:44:29,"University of Georgia Invitational 23-24, #2        ",,48,"moon volume is 2e25 mL, which is 1.2e24 moles of water, which is 7.4e47 molecules, which is 1.5e48 hydrogen atoms",
2/12/2024 11:46:38,"Northview Invitational 23-24, #25        ",What is the volume of a golf ball measured in cubic hectometers?,,,
2/12/2024 13:07:52,"Carolina Invitational 22-23, #30        ",,602051,WolframAlpha gives CatalanNumber[1000000] = 5.5*10^602051.,
2/12/2024 19:50:32,"SOAPS Invitational 22-23, #25        ","The current meerkat population is about 500,000 Approximately how many of these meerkats will be murdered by their own species if we follow all of them to their cause of death? Hint: Meerkats have been deemed the ""most murderous"" mammal species.",,,BTHS SciOly
2/12/2024 22:55:07,"UT Austin Regionals 22-23, #12        ",,19,google says 3 x 10^19,
2/12/2024 23:04:57,"Clements Invitational 17-18, #2        ",How many carbon atoms fit from the distance from sea level to the highest point on earth?,14,"everest 8800m = e4 m 
carbon atom 1 angstrom = e-10m 

14 m ?",evanescent
2/13/2024 10:57:17,"Northview Invitational 23-24, #34        ",,3,1 atm ~= 760mmHg which is 3,
2/13/2024 11:02:50,"RobertYL, daily fermi questions day #96 [2018 Monta Vista Tryouts Q15]        ",How many small calories does the sun output per second?,,the sun outputs 26 watts so for the answer to be 26 it would need to be small calories which can be ambiguous,
2/14/2024 14:49:54,"Princeton Invitational 17-18, #46        ",What is the half-life of Carbon-14 in seconds? [Use SI Units / 2017 USD],,,
2/15/2024 9:08:09,"Cornell Invitational 22-23, #4        ",,150,150.5 is 3 x 10^150 so it does not round up,
2/15/2024 10:03:21,"Ohio State Invitational 22-23, #8        ",,7,"each drop is 0.05mL, and there are 2.5e6 liters in an olympic pool. So, there are 2.5e6/5e-5 = 5e10 drops in the pool so it would take 5e10 seconds. Converting to hours, 5e10/3.6e3 = 1.4e7 so 7.",
2/15/2024 11:22:57,"University of Georgia Invitational 23-24, #17        ",,19,"Wavelength of violet is about ~400 nm = 4e-7 m, sun to neptune distane is ~30 AU = 4.5e12 m, dividing these numbers, we get 1.125e19, so the answer is 19",errorfunction
2/15/2024 11:35:59,"RobertYL, daily fermi questions day #35 [2018 SOUP Q25]        ",,19,"The earth's circumference (""arc length"") is 4e7 m, there are 1e12 picometers in a meter, so the arc length is 4e19 pm, leaving an answer of 19",errorfunction
2/16/2024 10:50:24,"University of Georgia Invitational 23-24, #21        ","If everyone in the world were to stand side-by-side (shoulder to shoulder with no gaps) to form a circle, what would be the diameter of the circle, in human hair widths?",,ambiguous whether it's human hair lengths or widths,
2/16/2024 11:10:51,"Sahil Gandhi, WSO Regionals 22-23, #8        ",,23,"specific molar volume is 22.4 L (at standard temperature and pressure, which should be approximately true when the person stops inhaling), human lung capacity is about 6 L, so the number of molecules inhaled is (6 / 22.4) * 1 mol = 1.6e23 molecules",errorfunction
2/16/2024 11:21:53,"Ohio State Invitational 22-23, #8        ",,7,"A drop of water has a volume of 0.05 mL, and we are adding one drop every second, so the total volume in an hour is 3600 s/hr * 0.05 mL/s = 180 mL = 0.18 L/hr. Olympic swimming pool has a volume of 2.5e6 L, so the time in hours it takes to fill up the swimming pool is (2.5e6 L) / (0.18 L/hr) = 1.39e7 hours, so the answer is 7 (basically, the original answer is correct: someone corrected the answer to 11, which is wrong because they had units of seconds instead of hours)",errorfunction
2/16/2024 16:32:24,"SOUP Invitational 22-23, #50        ",,9,"10-digit numbers are between 10^10 and 10^9. By the Prime Number Theorem, there are approximately 10^9 primes less than 10^10 and 10^9 / 9 less than 10^9 - therefore, the total number of 10-digit primes should be 8/9 * 10^9 which rounds up to 9.",
2/16/2024 20:05:14,"BirdSO Invitational 20-21, #40        ",,-18,It says (1/3)^100 but it should be (2/3)^100,
2/16/2024 20:07:46,"North Pocono Invitational 22-23, #15        ",,0,use ur brain,
2/16/2024 21:52:29,"RobertYL, daily fermi questions day #15 [2018 Mesa-Wilson Q43]        ",,0,"In practical terms of electric power, one potato can produce approximately . 5 volts of energy. However, did you know that by boiling the potato, you can get it to produce 5 volts instead? For reference, this is about half of the energy of an average AA battery - google",
2/20/2024 11:34:06,"SSSs Fermi (luminosityfan) 17-18, #9        ",,-7,20 m / (3 x 10^8 m/s) = 6.67 x 10^-8 s,errorfunction
2/20/2024 11:37:34,"Princeton Invitational 17-18, #47        ",What is 42!? [Use SI Units / 2017 USD],,Question text originally contained formatting error which showed the answer. ,errorfunction
2/20/2024 11:49:34,"Rice Invitational 17-18, #10        ",,-6,"Rice tuition is about $28,605 for one semester, so the fraction that a nickel takes up is 0.05/28605 = 1.7e-6, so the answer is -6. ",errorfunction
2/20/2024 17:45:27,"MIT Invitational 17-18, #34        ",,7,How can the answer be greater than 7 if there are only 30 million seconds a year,
2/20/2024 22:38:12,"RobertYL, daily fermi questions day #44 [2018 SOUP Q4]        ",,23,"internet says that for the atmosphere, there are 10^23 molecules of gas. a room is likely about 15 m^3, but since the air is 1/5 oxygen, then the number of oxygen molecules should be 3 * 10^23",me
2/21/2024 9:51:33,"BirdSO Satellite Invitational 21-22, #14        ",,3,"86400/47 = 1838 = 1.8e3, so 3",the better bibob
2/21/2024 14:09:47,"Captains Tryouts Carmel 17-18, #5        ","How many pennies are in $5,645?",,,
2/21/2024 18:43:21,"BirdSO Mini Invitational 21-22, #44        ",,14,"earth is e15 sq m, about -1 air pods/sq m",
2/22/2024 9:03:36,"BullSO Invitational 22-23, #36        ",,0,"all time high in 2023 of bitcoin was 45000 USD, each dollar bill is 0.1mm = 1e-4m thickness. 45000*1e-4m = 4.5m, 0.",the better bibob
2/22/2024 9:55:24,"Camas Invitational 22-23, #15        ",,37,did the original correcter misread the unit for a barn????,bibob
2/22/2024 11:23:17,"BirdSO Satellite Invitational 21-22, #53        ",Express Coulomb’s constant 8.99 × 10^9 kg m^3 /s^2 C^2 using the units (picogram)(smoot)^2 (miles)/ (Planck time)(femtosecond)(exacoulomb)(yottacoulomb),,the coulombs constant listed just isnt the constant lol,
,,,,,
2/23/2024 10:12:58,"RobertYL, daily fermi questions day #91 [2019 Cheyenne Mountain Q44]        ",,10,There were 100 million Mongols at its height. This means that assuming a mongol can hoard 50 boards in their lifetime(a low estimate) 8+2 = 10. ,X
2/23/2024 15:53:46,"SSSs Fermi (luminosityfan) 17-18, #13        ",,12,489 gallons/year per car. 1.5e9 cars in world. Multiply to get 7.5e11 --> 12 is answer.,
2/23/2024 16:34:59,"SSSs Fermi (rafaelnadal) 17-18, #7        ",,6,"world record bench press is 635 kg -> 635,000 g -> 635,000 mL water. shouldn’t that round up to 10^6 because it is greater than 500,000",quercus alba
2/23/2024 22:10:09,"Seven Lakes Invitational 17-18, #24        ",,27,"energy released is 2.5 kJ/mol butane, so 6e23 * 2.5e3 = 27",
2/23/2024 22:16:36,"University of Georgia Invitational 23-24, #17        ",,19,4e12 / 4e-7 = e19,
2/25/2024 0:09:33,"Duke Invitational 22-23, #1        ",,17,"Actual distance to Sirius is 8.15*10^16 meters, so it should be 17.
 
8.6 light years * 9.44 * 10^15 meters per light year reaches the same conclusion, so 17 is correct, not 16.",
2/25/2024 13:00:38,"Northview Invitational 23-24, #35        ",,-3,The probability of two people having the same birthday is 1/365 which should be -3 but the answer provided is -2,
2/25/2024 14:34:37,"RobertYL, daily fermi questions day #34 [2019 Captains Exchange: NCSSM Q15]        ",,3,Average of 20 kids per class * 30 pages per student = 600 pages which rounds to 3,AC
2/26/2024 8:34:26,"High Desert Mini Invitational 23-24, #6        ",How many gallons of ice cream are consumed in the United States each year?,,,bibob
2/26/2024 8:45:03,"GullSO Invitational 23-24, #35        ",,20,"Wolfram Alpha. (Alternatively, 100log(phi) - 1/2log(5) = 20.89-0.35 = 20.52, which is a comfortable 20.)",bibob
2/26/2024 11:29:16,"RobertYL, daily fermi questions day #14 [2019 Captains Tryout: Seven Lakes Q6]        ",What is the half-life of Carbon-14 in seconds?,,Question originally didn't give units,
2/27/2024 6:54:01,"Seven Lakes Invitational 18-19, #32        ","If every insect alive at this time played “Flight of the Bumblebee” on a tiny tuba, on repeat, how many notes could they play in a day?

",,"Otherwise the answer is implying it is played once, not constantly over 24 hours.",X
2/27/2024 7:01:36,"North Pocono Invitational 22-23, #15        ",How many galaxies are in our local group.,,"This question is currently asking how many galaxies are in one galaxy, which is just 1, or 0 in fermi notation. ",X
2/27/2024 7:09:14,"Duke Invitational 22-23, #11        ","If we assume all of Steph’s 3 pointers have come from the 3 point line how many times could we travel from the Earth to the Sun with the total distance the ball has traveled in these shots?

",,Unclear wording,X
2/27/2024 8:45:53,"Princeton Invitational 18-19, #9        ",How many pet rabbits are there in the United States [#]?,,Changing misspelling,
2/27/2024 8:53:16,"RobertYL, daily fermi questions day #61 [2019 Captains Tryout: TJHSST Q25]        ",,6,"distance from LA to NY is 2000 miles, 25mpg means 80 gallons, 33kwh in each gallon and 3.6e6 joules in each kwh. 80*33*3.6e6 = about 9e9 joules. 4e3 joules in a kilocalorie so 9e9/4e3 = 2.25e6, so 6",
2/27/2024 8:53:19,"UT Austin Regionals 22-23, #17        ",What is the product of the past six math problems (11 - 16)? [UNSOLVABLE QUESTION],,Remove this question because there is no way to solve it.,X
2/27/2024 11:41:41,"Raisbeck Aviation Invitational 17-18, #30        ",,-13,"Speed of light is c = 3e8 m/s = 1.8e10 m/minute, 0.001 m / c = 5.56e-14 minutes, so the answer is -13",errorfunction
2/27/2024 11:46:29,"BirdSO Satellite Invitational 21-22, #27        ",,37,"The world population is about 8 billion, the average human mass is 62 kg = 6.2e4 g, 1g = 6.022e23 dalton, so the combined mass is 8e9 x 6.2e4 g x 6.022e23 dalton/g = 2.98 x 10^37 dalton, so the answer is 37",errorfunction
2/27/2024 12:32:58,"University of Georgia Invitational 18-19, #18        ",,6,"Football field is 160×360 ft., 57,600 sq ft or 5,350 sq meters. Baseball diameter is just under 3 inches, therefore you could fit at least 16 in a square foot. Previous answer of 4 assumes that you are fitting one tennis ball per square meter, which makes no sense. ",yert
2/28/2024 13:49:21,"RobertYL, daily fermi questions day #25 [2018 Captains Exchange: Roslyn Q16]        ",,21,bruh just google it how are people this incompetent,rama BULUSU
2/28/2024 15:50:06,"Camas Invitational 22-23, #23        ",,24,"Volume of the moon is 2e10 km3 - this should already suggest how wrong the answer is. This is 2e25 cm3, and using an estimate of a hersheys kiss volume being 10ish cm3 (although it hardly matters) it takes 10^24 kisses to make the moon by volume. If you do it by mass, the moon weighs 7e22 kg or 7e25 g, each kiss weighing according to the internet abt 5 g, in which case the answer should be 25. literally no idea how the answer could possibly be 10. ",disc: cubicfrog
2/28/2024 15:51:29,"SOUP Invitational 22-23, #42        ",,1,"Usain Bolt's top speed (about 27.8 mph or 44.7 km/h).
The length of the equator (about 40,075 kilometers).
If we divide the length of the equator by Usain Bolt's top speed, we can estimate the number of hours it would take him to run it. Then, we can convert hours to days.

40,075 km / 44.7 km/h = 896.75 hours

So, it would take Usain Bolt approximately 897 hours to run along the equator. To convert this to days, we divide by 24 hours per day:

897 hours / 24 hours/day ≈ 37.38 days

So, it would take Usain Bolt around 37 days to run along the equator if he maintained his top speed.",quercus alba
2/29/2024 7:25:02,"GullSO Invitational 23-24, #31        ",The 1936 Berlin Olympics Stadium was later used as a bunker by Nazis during WWII. How many people could it hold?,,,
2/29/2024 8:24:04,"UMass Amherst Invitational 22-23, #37        ",,6,52 choose 5 idk how people suck this much ass at mathematics,rama 
2/29/2024 8:43:21,"Captains Tryouts Carmel 17-18, #5        ",How many pennies are in $5645,,,
2/29/2024 11:10:16,"RobertYL, daily fermi questions day #33 [2018 Westlake Q47]        ",,-19,"7e-20 is definitely FA -19, not -21",
2/29/2024 11:59:56,"Rickards SO Invitational 22-23, #42        ",,5190,"Nah 5190 is right, its log1(54^3000)—log(10^6), which is a fermi answer",
2/29/2024 14:15:40,"RobertYL, daily fermi questions day #33 [2019 Carmel Q20]        ",,19,google it ur tweaking,ryan park
2/29/2024 14:59:48,"RobertYL, daily fermi questions day #77 [2019 CMU Q29]        ",,1,5 volts is 1 as a fermi answer,
3/2/2024 9:44:23,"Seven Lakes Invitational 17-18, #11        ",Include the answer to the question above?,,Refers to another question that we don't know about,fryed_eggs
3/3/2024 20:28:57,"Raisbeck Aviation Invitational 17-18, #30        ",,-19,"the original was correct, the ""new"" answer used millimeters instead of nanometers",
3/4/2024 8:46:25,"RobertYL, daily fermi questions day #41 [2018 Carmel Tryouts Q29]        ",,15,"thickness of quarter is about 1mm = 1e-4m, distance to sun is 1e11m, 1e11/1e-4 = 1e15",
3/4/2024 8:59:18,"University of Michigan Invitational 17-18, #10        ",,1,26 = 2.6e1. Theres probably a typo but idk the original quesiton,
3/4/2024 9:00:49,"Carnegie Mellon Invitational 22-23, #5        ",,22,mass is 5.5e18 tons so 5.5e21kg --> 22,
3/4/2024 11:25:50,"Camas Invitational 22-23, #26        ",,23,"the oceans are e24mL, and a gulp is about e1mL, giving e23 gulps",
3/5/2024 8:52:34,"SSSs Fermi (luminosityfan) 17-18, #20        ",,18,just google,
3/5/2024 8:58:42,"SOUP Invitational 22-23, #27        ",,-6,"earth to moon is 400000km --> 4e7m, each cell has 1.8 meters and 37 trillion cells --> 7e13m of dna. 4e7/7e13 = 6e-7 --> -6",
3/5/2024 9:09:04,"RobertYL, daily fermi questions day #125 [2018 Medford Q17]        ",,11,93 billion lightyears --> 11,
3/5/2024 10:52:06,"Brown Invitational 22-23, #7        ",,2,Patriots only have 541 wins in history,
3/5/2024 13:07:03,"Captains Tryouts Carmel 17-18, #40        ",,21,"1.3 * 10^21 L of water in oceans, each balloon is 0.35 L, so ans is gonna be 21",teenmoturtle
3/5/2024 13:08:59,"RobertYL, daily fermi questions day #46 [2018 Columbia Q11]        ",,8,"51.8 million american travellers in 2017, so ans should be 8",teenmoturtle
3/5/2024 13:20:10,"High Desert Satellite Invitational 22-23, #13        ",,10,"modern cpu examples: amd ryzen 9, intel i9, both have close to 10 billion transistors, so ans should be 10",teenmoturtle
3/6/2024 9:17:44,"Seven Lakes Invitational 22-23, #24        ",,4,"There are 26,000 high schools in indonesia as of 2024 and 2023",TanMan
3/6/2024 9:41:59,"Cornell Invitational 22-23, #29        ",,11,look it up,bibob
3/6/2024 9:54:00,"RobertYL, daily fermi questions day #85 [2018 U Georgia Q2]",,3,"Google is right, but here's a full solution: Each base pair stores 2 bits of information (as it is one of 4 possible choices), and there are 30 billion base pairs in the human genome, so 3*10^8*2/(8*10^6) megabytes which is 3.",bibob or emptiespace
3/6/2024 10:04:50,"RobertYL, daily fermi questions day #43 [2018 Pembroke Q25]        ",,11,"E. Coli is 2 micrometers, Upstate New York has a width of about 500 km, so 5*10^5 m/2 * 10^-6 m =2.5 * 10^11, which is 11 (idk how they got 15?????)",bibob
3/6/2024 10:09:15,"RobertYL, daily fermi questions day #102 [2019 Duke Q5]        ",,2,"According to the University of St. Andrews, the Sun's core has a density of around 160 g/cm^3.",Trippy
3/6/2024 11:23:45,"High Desert Satellite Invitational 22-23, #18        ",What is the radius of the moon? [km],,,bibob
3/6/2024 11:24:06,"High Desert Satellite Invitational 22-23, #18        ",What is the radius of the moon? [m],,,bibob
3/6/2024 23:39:58,"Seven Lakes Invitational 17-18, #14        ",How many students could be put through elementary and secondary school with the amount of money found in the question above? [Military budget of the US],,,arisu
3/7/2024 0:07:40,"Palo Alto Tryouts 22-23, #35        ",,5,"According to google there are 70,000 public elementary schools in the us and 18,000 private elementary schools which adds up to around 100,000 AKA 10^5.",TopekaKansas
3/7/2024 9:19:48,"High Desert Mini Invitational 22-23, #5        ",What is the surface area of North America? (square kilometers),7,google,
3/7/2024 11:33:58,"Seven Lakes Invitational 18-19, #26        ",,14,"US school day is on average 6-7 hours with ~180 school days per year, so about 4.2 million seconds are spent in school per student. Multiply this by the 49.4 million students in the US to obtain a number of 2.1*10^14 seconds. ",errorfunction
